2026-02-02 07:55 | user | I am always impressed by people who are ambitious and emotionally normal at the same time.
2026-02-02 08:00 | user | I had people over for dinner last night and I swear tiny dinners are better than almost any big event.
2026-02-03 20:41 | user | I journal a lot because otherwise I will have a full emotional arc in my head and act like nothing happened.
2026-02-04 11:12 | user | Consistency wins me over so much faster than charm.
2026-02-04 11:18 | user | If I like someone, my texts get kind of detailed. I love when people meet me there instead of giving me one-line replies.
2026-02-05 17:25 | user | I could talk about memoirs and behavioral design forever honestly.
2026-02-05 17:28 | user | My favorite kind of funny is when someone tells a story in the most dramatic possible way.
2026-02-06 22:04 | user | Meanness is such an instant no for me. Same with avoidant communication.
2026-02-07 09:40 | user | My week gets packed, but I always make time for people who feel solid.
2026-02-07 09:44 | user | I care a lot about building a really good life, not just collecting impressive-sounding plans.
2026-02-07 09:50 | user | I trust people when their energy stays the same after the first impression part wears off.
